Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Grabner, M., Nithyanandan, K., Peterka, P., Koska, P., Jasim, A.A., Honzatko, P.","57217573502;36246432800;6602769922;55644355900;57212397480;6602116389;","Simulations of Pump Absorption in Tandem-Pumped Octagon Double-Clad Fibers",2021,"IEEE Photonics Journal","13","2", 9360441,"","",,,"10.1109/JPHOT.2021.3060857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101780051&doi=10.1109%2fJPHOT.2021.3060857&partnerID=40&md5=61016e2c4be2a3186b82bb56cceb36d2",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85101780051
"Todorov, F., Aubrecht, J., Peterka, P., Schreiber, O., Jasim, A.A., Mrázek, J., Podrazký, O., Kamrádek, M., Kanagaraj, N., Grábner, M., Baravets, Y., Cajzl, J., Koška, P., Fišar, A., Kašík, I., Honzátko, P.","12345187800;22978680900;6602769922;57219924114;57212397480;57204821792;22981226900;55578827600;36246432800;57217573502;55767669600;54384782700;55644355900;57219926942;7004504748;6602116389;","Active optical fibers and components for fiber lasers emitting in the 2-µm spectral range",2020,"Materials","13","22", 5177,"1","15",,3,"10.3390/ma13225177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096144210&doi=10.3390%2fma13225177&partnerID=40&md5=9bba31d8c2962697b807e705e2c3e1b0",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85096144210
"Sharafali, A., Nithyanandan, K.","56367906600;36246432800;","A theoretical study on the supercontinuum generation in a novel suspended liquid core photonic crystal fiber",2020,"Applied Physics B: Lasers and Optics","126","4", 55,"","",,3,"10.1007/s00340-020-7403-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081118747&doi=10.1007%2fs00340-020-7403-9&partnerID=40&md5=0e7b05198d509b8bd2bcea05637bcf09",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85081118747
"Grábner, M., Nithyanandan, K., Peterka, P., Koška, P., Honzátko, P., Jasim, A.A.","57217573502;36246432800;6602769922;55644355900;6602116389;57212397480;","Numerical modelling of pump absorption in coiled and twisted double-clad fiber: A prospect for tandem pumped fiber laser",2020,"Proceedings of SPIE - The International Society for Optical Engineering","11355",, 113550W,"","",,2,"10.1117/12.2557230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085176476&doi=10.1117%2f12.2557230&partnerID=40&md5=7f2795e9ed5f2346f00404c5e3458948",Conference Paper,"Final","",Scopus,2-s2.0-85085176476
"Wang, Z.Q., Nithyanandan, K., Coillet, A., Tchofo-Dinda, P., Grelu, P.","56448591700;36246432800;26530475400;6604078297;6602757933;","Optical soliton molecular complexes in a passively mode-locked fibre laser",2019,"Nature Communications","10","1", 830,"","",,65,"10.1038/s41467-019-08755-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061869309&doi=10.1038%2fs41467-019-08755-4&partnerID=40&md5=7ff77e54a0a21a3b246478666805c353",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85061869309
"Duran, V., De Chatellus, H.G., Schnebelin, C., Nithyanandan, K., Djevarhidjian, L., Clement, J., Fernandez-Pousa, C.R.","7004082718;24072741200;56347323200;36246432800;57202733578;56941379000;6603683357;","Optical Frequency Combs Generated by Acousto-Optic Frequency-Shifting Loops",2019,"IEEE Photonics Technology Letters","31","23", 8871215,"1878","1881",,4,"10.1109/LPT.2019.2947655","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077227819&doi=10.1109%2fLPT.2019.2947655&partnerID=40&md5=9591bd96f19b38e9b596849b1ab9763b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85077227819
"Triki, H., Porsezian, K., Senthilnathan, K., Nithyanandan, K.","56259534300;35561975500;6603370481;36246432800;","Chirped self-similar solitary waves for the generalized nonlinear Schrödinger equation with distributed two-power-law nonlinearities",2019,"Physical Review E","100","4", 042208,"","",,,"10.1103/PhysRevE.100.042208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073826541&doi=10.1103%2fPhysRevE.100.042208&partnerID=40&md5=66c30a271ba6f5a7352f4345c4bff3c9",Article,"Final","",Scopus,2-s2.0-85073826541
"Nithyanandan, K., Sharafali, A., Peterka, P.","36246432800;56367906600;6602769922;","A theoretical study on the continuum generation in a defective core photonic crystal fiber",2019,"Advanced Solid State Lasers - Proceedings Laser Congress 2019 (ASSL, LAC, LS and C)",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086287919&partnerID=40&md5=af2bf11a2fc4e57ce24bd19555850edd",Conference Paper,"Final","",Scopus,2-s2.0-85086287919
"Kanagaraj, N., Theodosiou, A., Aubrecht, J., Peterka, P., Kamradek, M., Kalli, K., Kasik, I., Honzatko, P.","36246432800;56541357000;22978680900;6602769922;55578827600;7004133189;7004504748;6602116389;","All fiber mode-locked thulium-doped fiber laser using a novel femtosecond-laser-inscribed 45°-plane-by-plane-tilted fiber grating",2019,"Laser Physics Letters","16","9", 095104,"","",,5,"10.1088/1612-202X/ab39db","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075800902&doi=10.1088%2f1612-202X%2fab39db&partnerID=40&md5=bcfc9eec9f0a86fca5b4a2b09e63574a",Article,"Final","",Scopus,2-s2.0-85075800902
"Sharafali, A., Nithyanandan, K.","56367906600;36246432800;","Ultra-broadband continuum generation in silica based defective core photonic crystal fiber",2019,"Optik","191",,,"121","131",,4,"10.1016/j.ijleo.2019.06.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067082938&doi=10.1016%2fj.ijleo.2019.06.014&partnerID=40&md5=9bdf979f25fdc5184c7cc4a8aff746d5",Article,"Final","",Scopus,2-s2.0-85067082938
"Musammil, N.M., Subha, P.A., Nithyanandan, K.","55813729600;15846997000;36246432800;","Phase dynamics of inhomogeneous Manakov vector solitons",2019,"Physical Review E","100","1", 012213,"","",,2,"10.1103/PhysRevE.100.012213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070094450&doi=10.1103%2fPhysRevE.100.012213&partnerID=40&md5=5b99c081dba8cd554aff886780307ad2",Article,"Final","",Scopus,2-s2.0-85070094450
"Peterka, P., Koška, P., Jasim, A.A., Kanagaraj, N., Aubrecht, J., Kamrádek, M., Podrazký, O., Todorov, F., Kašik, I., Honzátko, P.","6602769922;55644355900;57212397480;36246432800;22978680900;55578827600;22981226900;12345187800;7004504748;6602116389;","Enhanced pump absorption efficiency in coiled and twisted double-clad fibers for fiber lasers",2019,"International Conference on Transparent Optical Networks","2019-July",, 8840274,"","",,,"10.1109/ICTON.2019.8840274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073075373&doi=10.1109%2fICTON.2019.8840274&partnerID=40&md5=699ff9a3293fede0be28c289c8404a94",Conference Paper,"Final","",Scopus,2-s2.0-85073075373
"Igbonacho, J., Nithyanandan, K., Krupa, K., Dinda, P.T., Grelu, P., Moubissi, A.B.","57202317976;36246432800;23467266100;7006032810;6602757933;6603251331;","Dynamics of distorted and undistorted soliton molecules in a mode-locked fiber laser",2019,"Physical Review A","99","6", 063824,"","",,9,"10.1103/PhysRevA.99.063824","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068261215&doi=10.1103%2fPhysRevA.99.063824&partnerID=40&md5=77f1d9c3a37e686133d662d2526d421f",Article,"Final","",Scopus,2-s2.0-85068261215
"Nithyanandan, K., Djevarhidjian, L., Duran, V., Schnébelin, C., De Chatellus, H.G.","36246432800;57202733578;7004082718;56347323200;24072741200;","Optimization of acousto-optic frequency combs",2019,"2019 Conference on Lasers and Electro-Optics Europe and European Quantum Electronics Conference, CLEO/Europe-EQEC 2019",,, 8871928,"","",,,"10.1109/CLEOE-EQEC.2019.8871928","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074673215&doi=10.1109%2fCLEOE-EQEC.2019.8871928&partnerID=40&md5=6ed98ddd18c023de340f2b12b1bca17f",Conference Paper,"Final","",Scopus,2-s2.0-85074673215
"Kanagaraj, N., Wang, Z., Coillet, A., Tchofo-Dinda, P., Grelu, P.","36246432800;57212119488;26530475400;6604078297;6602757933;","Buildup of noise-like pulses in ultrafast fiber lasers",2019,"2019 Conference on Lasers and Electro-Optics Europe and European Quantum Electronics Conference, CLEO/Europe-EQEC 2019",,, 8872466,"","",,,"10.1109/CLEOE-EQEC.2019.8872466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074640667&doi=10.1109%2fCLEOE-EQEC.2019.8872466&partnerID=40&md5=fdb2090da8cde43eefc35254bdd8b655",Conference Paper,"Final","",Scopus,2-s2.0-85074640667
"Theodosiou, A., Aubrecht, J., Kanagaraj, N., Peterka, P., Kalli, K., Kašík, I., Honzátko, P.","56541357000;22978680900;36246432800;6602769922;7004133189;7004504748;6602116389;","All-fiber mode-locked thulium doped fiber laser using a novel femtosecond laser inscribed 45° tilted fiber grating",2019,"2019 Conference on Lasers and Electro-Optics Europe and European Quantum Electronics Conference, CLEO/Europe-EQEC 2019",,, 8871737,"","",,,"10.1109/CLEOE-EQEC.2019.8871737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074645321&doi=10.1109%2fCLEOE-EQEC.2019.8871737&partnerID=40&md5=9f69cae57013e2d5c4cf2848fbb97f83",Conference Paper,"Final","",Scopus,2-s2.0-85074645321
